Gene.stable.ID	Protein.stable.ID	Transcript.stable.ID	Gene.name	depth
ENSG00000005339	ENSP00000262367	ENST00000262367	CREBBP	270
ENSG00000005379	ENSP00000345824	ENST00000343736	TSPOAP1	596
ENSG00000005381	ENSP00000225275	ENST00000225275	MPO	96
ENSG00000005421	ENSP00000222381	ENST00000222381	PON1	461
ENSG00000005436	ENSP00000318690	ENST00000321027	GCFC2	427
ENSG00000005448	ENSP00000006526	ENST00000348227	WDR54	126
ENSG00000005469	ENSP00000331981	ENST00000331536	CROT	1146
ENSG00000005471	ENSP00000496956	ENST00000649586	ABCB4	184
ENSG00000005483	ENSP00000312379	ENST00000311117	KMT2E	219
ENSG00000005486	ENSP00000006777	ENST00000006777	RHBDD2	112
ENSG00000005513	ENSP00000293894	ENST00000293894	SOX8	251
ENSG00000005700	ENSP00000305721	ENST00000306270	IBTK	211
ENSG00000005801	ENSP00000382511	ENST00000399602	ZNF195	442
ENSG00000005810	ENSP00000444596	ENST00000544440	MYCBP2	223
ENSG00000005812	ENSP00000347834	ENST00000355619	FBXL3	225
ENSG00000005844	ENSP00000349252	ENST00000356798	ITGAL	110
ENSG00000005882	ENSP00000420927	ENST00000503176	PDK2	1060
ENSG00000005884	ENSP00000315190	ENST00000320031	ITGA3	259
ENSG00000005889	ENSP00000304985	ENST00000304543	ZFX	148
ENSG00000005893	ENSP00000200639	ENST00000200639	LAMP2	916
ENSG00000005961	ENSP00000262407	ENST00000262407	ITGA2B	162
ENSG00000005981	ENSP00000321388	ENST00000325885	ASB4	191
ENSG00000006007	ENSP00000261386	ENST00000353258	GDE1	246
ENSG00000006015	ENSP00000351422	ENST00000358607	REX1BD	79
ENSG00000006016	ENSP00000376188	ENST00000392386	CRLF1	313
ENSG00000006025	ENSP00000007414	ENST00000007414	OSBPL7	266
ENSG00000006042	ENSP00000463245	ENST00000579849	TMEM98	219
ENSG00000006047	ENSP00000007699	ENST00000007699	YBX2	198
ENSG00000006059	ENSP00000007735	ENST00000007735	KRT33A	197
ENSG00000006062	ENSP00000478552	ENST00000344686	MAP3K14	240
ENSG00000006071	ENSP00000374467	ENST00000389817	ABCC8	242
ENSG00000006116	ENSP00000005284	ENST00000005284	CACNG3	508
ENSG00000006118	ENSP00000405823	ENST00000453848	TMEM132A	113
ENSG00000006125	ENSP00000483185	ENST00000610402	AP2B1	230
ENSG00000006128	ENSP00000321106	ENST00000319273	TAC1	197
ENSG00000006194	ENSP00000219069	ENST00000219069	ZNF263	149
ENSG00000006210	ENSP00000006053	ENST00000006053	CX3CL1	1220
ENSG00000006282	ENSP00000006658	ENST00000006658	SPATA20	191
ENSG00000006283	ENSP00000352011	ENST00000359106	CACNA1G	200
ENSG00000006327	ENSP00000326737	ENST00000326577	TNFRSF12A	88
ENSG00000006377	ENSP00000428480	ENST00000518156	DLX6	216
ENSG00000006432	ENSP00000451612	ENST00000554752	MAP3K9	196
ENSG00000006451	ENSP00000005257	ENST00000005257	RALA	232
ENSG00000006453	ENSP00000005260	ENST00000005260	BAIAP2L1	887
ENSG00000006459	ENSP00000380692	ENST00000397560	KDM7A	244
ENSG00000006468	ENSP00000405327	ENST00000430479	ETV1	211
ENSG00000006530	ENSP00000497280	ENST00000649286	AGK	224
ENSG00000006534	ENSP00000473990	ENST00000342456	ALDH3B1	55
ENSG00000006555	ENSP00000360323	ENST00000371276	TTC22	187
ENSG00000006576	ENSP00000400958	ENST00000416283	PHTF2	414
ENSG00000006606	ENSP00000005180	ENST00000005180	CCL26	1220
ENSG00000006607	ENSP00000264042	ENST00000264042	FARP2	217
ENSG00000006611	ENSP00000005226	ENST00000005226	USH1C	773
ENSG00000006625	ENSP00000275428	ENST00000275428	GGCT	264
ENSG00000006634	ENSP00000265728	ENST00000265728	DBF4	355
ENSG00000006638	ENSP00000364336	ENST00000375190	TBXA2R	1300
ENSG00000006652	ENSP00000384477	ENST00000403825	IFRD1	425
ENSG00000006659	ENSP00000375905	ENST00000392052	LGALS14	48
ENSG00000006695	ENSP00000261643	ENST00000261643	COX10	420
ENSG00000006704	ENSP00000408477	ENST00000424337	GTF2IRD1	195
ENSG00000006712	ENSP00000221265	ENST00000221265	PAF1	188
ENSG00000006715	ENSP00000309457	ENST00000310301	VPS41	211
ENSG00000006740	ENSP00000368994	ENST00000379672	ARHGAP44	271
ENSG00000006744	ENSP00000337445	ENST00000338034	ELAC2	195
ENSG00000006747	ENSP00000297029	ENST00000297029	SCIN	182
ENSG00000006756	ENSP00000370546	ENST00000381154	ARSD	225
ENSG00000006757	ENSP00000370430	ENST00000381042	PNPLA4	121
ENSG00000006788	ENSP00000252172	ENST00000252172	MYH13	82
ENSG00000006831	ENSP00000349616	ENST00000357103	ADIPOR2	210
ENSG00000006837	ENSP00000265334	ENST00000265334	CDKL3	116
ENSG00000007001	ENSP00000005756	ENST00000005756	UPP2	183
ENSG00000007038	ENSP00000005995	ENST00000005995	PRSS21	233
ENSG00000007047	ENSP00000262891	ENST00000262891	MARK4	289
ENSG00000007062	ENSP00000415481	ENST00000447510	PROM1	491
ENSG00000007080	ENSP00000408730	ENST00000445755	CCDC124	189
ENSG00000007129	ENSP00000385739	ENST00000401445	CEACAM21	877
ENSG00000007168	ENSP00000380378	ENST00000397195	PAFAH1B1	282
ENSG00000007171	ENSP00000327251	ENST00000313735	NOS2	166
ENSG00000007174	ENSP00000262442	ENST00000262442	DNAH9	145
ENSG00000007202	ENSP00000436773	ENST00000528896	KIAA0100	194
ENSG00000007216	ENSP00000316202	ENST00000314669	SLC13A2	1323
ENSG00000007237	ENSP00000407552	ENST00000432992	GAS7	290
ENSG00000007255	ENSP00000468612	ENST00000585934	TRAPPC6A	364
ENSG00000007264	ENSP00000308734	ENST00000310132	MATK	178
ENSG00000007306	ENSP00000385932	ENST00000401731	CEACAM7	877
ENSG00000007312	ENSP00000006750	ENST00000006750	CD79B	304
ENSG00000007314	ENSP00000396320	ENST00000435607	SCN4A	197
ENSG00000007341	ENSP00000350734	ENST00000358039	ST7L	414
ENSG00000007350	ENSP00000358931	ENST00000369915	TKTL1	84
ENSG00000007372	ENSP00000492024	ENST00000640368	PAX6	377
ENSG00000007376	ENSP00000007264	ENST00000007264	RPUSD1	197
ENSG00000007384	ENSP00000262316	ENST00000262316	RHBDF1	284
ENSG00000007392	ENSP00000293872	ENST00000293872	LUC7L	622
ENSG00000007402	ENSP00000390329	ENST00000424201	CACNA2D2	269
ENSG00000007516	ENSP00000407242	ENST00000426824	BAIAP3	362
ENSG00000007520	ENSP00000007390	ENST00000007390	TSR3	199
ENSG00000007541	ENSP00000326674	ENST00000321878	PIGQ	206
ENSG00000007545	ENSP00000380559	ENST00000397412	CRAMP1	203
ENSG00000007866	ENSP00000492431	ENST00000639578	TEAD3	840
ENSG00000007908	ENSP00000331736	ENST00000333360	SELE	246
ENSG00000007923	ENSP00000366800	ENST00000377577	DNAJC11	278
ENSG00000007933	ENSP00000356729	ENST00000367755	FMO3	116
ENSG00000007944	ENSP00000349298	ENST00000356840	MYLIP	228
ENSG00000007952	ENSP00000362057	ENST00000372966	NOX1	123
ENSG00000007968	ENSP00000355249	ENST00000361729	E2F2	126
ENSG00000008018	ENSP00000262193	ENST00000262193	PSMB1	219
ENSG00000008056	ENSP00000295987	ENST00000295987	SYN1	103
ENSG00000008083	ENSP00000341280	ENST00000341776	JARID2	218
ENSG00000008086	ENSP00000485244	ENST00000623535	CDKL5	256
ENSG00000008118	ENSP00000354861	ENST00000361322	CAMK1G	258
ENSG00000008128	ENSP00000384442	ENST00000404249	CDK11A	209
ENSG00000008130	ENSP00000341679	ENST00000341426	NADK	203
ENSG00000008196	ENSP00000377265	ENST00000393655	TFAP2B	1004
ENSG00000008197	ENSP00000008391	ENST00000008391	TFAP2D	1004
ENSG00000008226	ENSP00000308597	ENST00000308059	DLEC1	153
ENSG00000008256	ENSP00000297044	ENST00000350796	CYTH3	280
ENSG00000008277	ENSP00000381262	ENST00000398204	ADAM22	208
ENSG00000008282	ENSP00000388336	ENST00000455385	SYPL1	1078
ENSG00000008283	ENSP00000354028	ENST00000360793	CYB561	616
ENSG00000008294	ENSP00000262013	ENST00000262013	SPAG9	581
ENSG00000008300	ENSP00000164024	ENST00000164024	CELSR3	199
ENSG00000008311	ENSP00000403768	ENST00000417368	AASS	200
ENSG00000008323	ENSP00000506982	ENST00000684764	PLEKHG6	152
ENSG00000008324	ENSP00000011691	ENST00000011691	SS18L2	208
ENSG00000008382	ENSP00000471735	ENST00000599840	MPND	183
ENSG00000008394	ENSP00000379513	ENST00000396210	MGST1	421
ENSG00000008405	ENSP00000008527	ENST00000008527	CRY1	262
ENSG00000008438	ENSP00000008938	ENST00000008938	PGLYRP1	189
ENSG00000008441	ENSP00000467512	ENST00000592199	NFIX	941
ENSG00000008513	ENSP00000430515	ENST00000522652	ST3GAL1	436
ENSG00000008516	ENSP00000337816	ENST00000336577	MMP25	167
ENSG00000008517	ENSP00000432218	ENST00000525643	IL32	5
ENSG00000008710	ENSP00000262304	ENST00000262304	PKD1	114
ENSG00000008735	ENSP00000330572	ENST00000329492	MAPK8IP2	195
ENSG00000008838	ENSP00000377686	ENST00000394128	MED24	226
ENSG00000008853	ENSP00000251822	ENST00000251822	RHOBTB2	211
ENSG00000008869	ENSP00000233099	ENST00000233099	HEATR5B	405
ENSG00000008952	ENSP00000337688	ENST00000337002	SEC62	221
ENSG00000008988	ENSP00000009589	ENST00000009589	RPS20	428
ENSG00000009307	ENSP00000351329	ENST00000358528	CSDE1	249
ENSG00000009335	ENSP00000309198	ENST00000348165	UBE3C	211
ENSG00000009413	ENSP00000357792	ENST00000368802	REV3L	209
ENSG00000009694	ENSP00000403954	ENST00000422452	TENM1	1287
ENSG00000009709	ENSP00000403389	ENST00000420770	PAX7	289
ENSG00000009724	ENSP00000383690	ENST00000400897	MASP2	672
ENSG00000009765	ENSP00000343763	ENST00000344419	IYD	191
ENSG00000009780	ENSP00000363065	ENST00000373954	FAM76A	134
ENSG00000009790	ENSP00000355992	ENST00000367025	TRAF3IP3	182
ENSG00000009830	ENSP00000261534	ENST00000261534	POMT2	198
ENSG00000009844	ENSP00000356602	ENST00000367630	VTA1	202
ENSG00000009950	ENSP00000320886	ENST00000313375	MLXIPL	193
ENSG00000009954	ENSP00000342434	ENST00000339594	BAZ1B	208
ENSG00000010017	ENSP00000011619	ENST00000011619	RANBP9	236
ENSG00000010030	ENSP00000341843	ENST00000340181	ETV7	161
ENSG00000010072	ENSP00000295050	ENST00000295050	SPRTN	221
ENSG00000010165	ENSP00000354920	ENST00000361735	EEF1AKNMT	207
ENSG00000010219	ENSP00000439697	ENST00000543431	DYRK4	237
ENSG00000010244	ENSP00000378165	ENST00000394670	ZNF207	262
ENSG00000010256	ENSP00000203407	ENST00000203407	UQCRC1	203
ENSG00000010270	ENSP00000009041	ENST00000009041	STARD3NL	213
ENSG00000010278	ENSP00000009180	ENST00000009180	CD9	345
ENSG00000010282	ENSP00000405423	ENST00000441594	HHATL	454
ENSG00000010292	ENSP00000325017	ENST00000315579	NCAPD2	388
ENSG00000010295	ENSP00000482285	ENST00000619571	IFFO1	494
ENSG00000010310	ENSP00000467494	ENST00000590918	GIPR	92
ENSG00000010318	ENSP00000333024	ENST00000327906	PHF7	978
ENSG00000010319	ENSP00000231721	ENST00000231721	SEMA3G	202
ENSG00000010322	ENSP00000339958	ENST00000345716	NISCH	211
ENSG00000010327	ENSP00000312946	ENST00000321725	STAB1	194
ENSG00000010361	ENSP00000313309	ENST00000313777	FUZ	151
ENSG00000010379	ENSP00000339260	ENST00000343164	SLC6A13	305
ENSG00000010404	ENSP00000339801	ENST00000340855	IDS	208
ENSG00000010438	ENSP00000368715	ENST00000379405	PRSS3	677
ENSG00000010539	ENSP00000405786	ENST00000414144	ZNF200	86
ENSG00000010610	ENSP00000011653	ENST00000011653	CD4	276
ENSG00000010626	ENSP00000390932	ENST00000443597	LRRC23	184
ENSG00000010671	ENSP00000308176	ENST00000308731	BTK	208
ENSG00000010704	ENSP00000417404	ENST00000357618	HFE	1196
ENSG00000010803	ENSP00000337352	ENST00000337495	SCMH1	226
ENSG00000010810	ENSP00000346671	ENST00000354650	FYN	277
ENSG00000010818	ENSP00000356575	ENST00000367603	HIVEP2	275
ENSG00000010932	ENSP00000481732	ENST00000617670	FMO1	123
ENSG00000011007	ENSP00000395574	ENST00000418390	ELOA	345
ENSG00000011009	ENSP00000363638	ENST00000374514	LYPLA2	225
ENSG00000011021	ENSP00000234488	ENST00000346436	CLCN6	210
ENSG00000011028	ENSP00000307513	ENST00000303375	MRC2	1394
ENSG00000011052	ENSP00000376889	ENST00000393193	NME1-NME2	33
ENSG00000011083	ENSP00000230671	ENST00000230671	SLC6A7	123
ENSG00000011105	ENSP00000011898	ENST00000011898	TSPAN9	273
ENSG00000011114	ENSP00000335615	ENST00000334746	BTBD7	240
ENSG00000011132	ENSP00000315136	ENST00000316757	APBA3	188
ENSG00000011143	ENSP00000376827	ENST00000393119	MKS1	209
ENSG00000011198	ENSP00000495778	ENST00000644371	ABHD5	480
ENSG00000011201	ENSP00000262648	ENST00000262648	ANOS1	318
ENSG00000011243	ENSP00000380557	ENST00000397410	AKAP8L	464
ENSG00000011258	ENSP00000468304	ENST00000586178	MBTD1	464
ENSG00000011260	ENSP00000225298	ENST00000225298	UTP18	183
ENSG00000011275	ENSP00000374552	ENST00000389902	RNF216	191
ENSG00000011295	ENSP00000261647	ENST00000261647	TTC19	200
ENSG00000011304	ENSP00000349428	ENST00000356948	PTBP1	498
ENSG00000011332	ENSP00000347716	ENST00000355526	DPF1	194
ENSG00000011347	ENSP00000439694	ENST00000539008	SYT7	263
ENSG00000011376	ENSP00000495093	ENST00000645846	LARS2	206
ENSG00000011405	ENSP00000265970	ENST00000265970	PIK3C2A	217
ENSG00000011422	ENSP00000339328	ENST00000340093	PLAUR	287
ENSG00000011426	ENSP00000265748	ENST00000265748	ANLN	272
ENSG00000011451	ENSP00000500993	ENST00000673675	WIZ	267
ENSG00000011454	ENSP00000362751	ENST00000373647	RABGAP1	216
ENSG00000011465	ENSP00000052754	ENST00000052754	DCN	212
ENSG00000011478	ENSP00000012049	ENST00000012049	QPCTL	419
ENSG00000011485	ENSP00000012443	ENST00000012443	PPP5C	199
ENSG00000011523	ENSP00000367229	ENST00000377990	CEP68	396
ENSG00000011566	ENSP00000263881	ENST00000263881	MAP4K3	264
ENSG00000011590	ENSP00000376035	ENST00000392197	ZBTB32	100
ENSG00000011600	ENSP00000262629	ENST00000262629	TYROBP	98
ENSG00000011638	ENSP00000233047	ENST00000233047	TMEM159	127
ENSG00000011677	ENSP00000359337	ENST00000370314	GABRA3	192
ENSG00000012048	ENSP00000350283	ENST00000357654	BRCA1	205
ENSG00000012061	ENSP00000300853	ENST00000300853	ERCC1	181
ENSG00000012124	ENSP00000085219	ENST00000085219	CD22	1287
ENSG00000012171	ENSP00000484146	ENST00000616701	SEMA3B	205
ENSG00000012174	ENSP00000368798	ENST00000379484	MBTPS2	182
ENSG00000012211	ENSP00000470248	ENST00000599218	PRICKLE3	487
ENSG00000012223	ENSP00000231751	ENST00000231751	LTF	250
ENSG00000012232	ENSP00000220562	ENST00000220562	EXTL3	210
ENSG00000012504	ENSP00000376712	ENST00000392986	NR1H4	201
ENSG00000012660	ENSP00000306640	ENST00000304434	ELOVL5	1145
ENSG00000012779	ENSP00000363512	ENST00000374391	ALOX5	232
ENSG00000012817	ENSP00000322408	ENST00000317961	KDM5D	110
ENSG00000012822	ENSP00000449960	ENST00000550804	CALCOCO1	6
ENSG00000012963	ENSP00000013070	ENST00000013070	UBR7	258
ENSG00000012983	ENSP00000507200	ENST00000682126	MAP4K5	198
ENSG00000013016	ENSP00000327116	ENST00000322054	EHD3	203
ENSG00000013275	ENSP00000157812	ENST00000157812	PSMC4	1469
ENSG00000013288	ENSP00000285599	ENST00000285599	MAN2B2	1058
ENSG00000013293	ENSP00000231706	ENST00000231706	SLC7A14	268
ENSG00000013297	ENSP00000064724	ENST00000064724	CLDN11	267
ENSG00000013306	ENSP00000366299	ENST00000377095	SLC25A39	142
ENSG00000013364	ENSP00000349977	ENST00000357402	MVP	191
ENSG00000013374	ENSP00000454264	ENST00000568733	NUB1	211
ENSG00000013375	ENSP00000424874	ENST00000513973	PGM3	210
ENSG00000013392	ENSP00000358739	ENST00000369724	RWDD2A	320
ENSG00000013441	ENSP00000326830	ENST00000321356	CLK1	179
ENSG00000013503	ENSP00000228347	ENST00000228347	POLR3B	638
ENSG00000013523	ENSP00000251089	ENST00000251089	ANGEL1	198
ENSG00000013561	ENSP00000378028	ENST00000394520	RNF14	305
ENSG00000013563	ENSP00000358822	ENST00000369807	DNASE1L1	973
ENSG00000013573	ENSP00000443426	ENST00000542838	DDX11	808
ENSG00000013583	ENSP00000014930	ENST00000014930	HEBP1	146
ENSG00000013588	ENSP00000014914	ENST00000014914	GPRC5A	826
ENSG00000013619	ENSP00000359428	ENST00000370401	MAMLD1	147
ENSG00000013725	ENSP00000323280	ENST00000313421	CD6	133
ENSG00000013810	ENSP00000326550	ENST00000313288	TACC3	201
ENSG00000014123	ENSP00000358283	ENST00000369278	UFL1	200
ENSG00000014138	ENSP00000265465	ENST00000265465	POLA2	198
ENSG00000014164	ENSP00000262577	ENST00000262577	ZC3H3	179
ENSG00000014216	ENSP00000279247	ENST00000279247	CAPN1	220
ENSG00000014257	ENSP00000337471	ENST00000336375	ACP3	144
ENSG00000014641	ENSP00000233114	ENST00000233114	MDH1	508
ENSG00000014824	ENSP00000264451	ENST00000264451	SLC30A9	207
ENSG00000014914	ENSP00000391668	ENST00000439741	MTMR11	197
ENSG00000014919	ENSP00000016171	ENST00000016171	COX15	198
ENSG00000015133	ENSP00000374507	ENST00000389857	CCDC88C	286
ENSG00000015153	ENSP00000439256	ENST00000534854	YAF2	497
ENSG00000015171	ENSP00000371017	ENST00000381604	ZMYND11	212
ENSG00000015285	ENSP00000365891	ENST00000376701	WAS	440
ENSG00000015413	ENSP00000376807	ENST00000393092	DPEP1	196
ENSG00000015475	ENSP00000480414	ENST00000622694	BID	89
ENSG00000015479	ENSP00000378284	ENST00000394805	MATR3	465
ENSG00000015520	ENSP00000370552	ENST00000381160	NPC1L1	186
ENSG00000015532	ENSP00000017003	ENST00000017003	XYLT2	200
ENSG00000015568	ENSP00000016946	ENST00000016946	RGPD5	41
ENSG00000015592	ENSP00000430699	ENST00000519614	STMN4	1151
ENSG00000015676	ENSP00000347626	ENST00000355451	NUDCD3	193
ENSG00000016082	ENSP00000230658	ENST00000230658	ISL1	492
ENSG00000016391	ENSP00000319851	ENST00000315251	CHDH	194
ENSG00000016402	ENSP00000314976	ENST00000316649	IL20RA	254
ENSG00000016490	ENSP00000378200	ENST00000394711	CLCA1	241
ENSG00000016602	ENSP00000359594	ENST00000370563	CLCA4	116
ENSG00000016864	ENSP00000266014	ENST00000266014	GLT8D1	195
ENSG00000017260	ENSP00000427461	ENST00000510168	ATP2C1	214
ENSG00000017427	ENSP00000337612	ENST00000337514	IGF1	224
ENSG00000017483	ENSP00000481291	ENST00000620913	SLC38A5	181
ENSG00000017797	ENSP00000372924	ENST00000383432	RALBP1	233
ENSG00000018189	ENSP00000370394	ENST00000381006	RUFY3	219
ENSG00000018236	ENSP00000447006	ENST00000551295	CNTN1	279
ENSG00000018280	ENSP00000233202	ENST00000233202	SLC11A1	124
ENSG00000018408	ENSP00000353847	ENST00000360632	WWTR1	420
ENSG00000018510	ENSP00000264167	ENST00000264167	AGPS	209
ENSG00000018610	ENSP00000494123	ENST00000644802	STEEP1	218
ENSG00000018625	ENSP00000354490	ENST00000361216	ATP1A2	189
ENSG00000018699	ENSP00000313953	ENST00000317907	TTC27	200
ENSG00000018869	ENSP00000465619	ENST00000586929	ZNF582	78
ENSG00000019102	ENSP00000318684	ENST00000326621	VSIG2	119
ENSG00000019144	ENSP00000469820	ENST00000600882	PHLDB1	330
ENSG00000019169	ENSP00000318916	ENST00000327097	MARCO	690
ENSG00000019186	ENSP00000216862	ENST00000216862	CYP24A1	947
ENSG00000019485	ENSP00000507575	ENST00000683152	PRDM11	199
ENSG00000019505	ENSP00000020926	ENST00000020926	SYT13	161
ENSG00000019549	ENSP00000020945	ENST00000020945	SNAI2	249
ENSG00000019582	ENSP00000009530	ENST00000009530	CD74	206
ENSG00000019991	ENSP00000222390	ENST00000222390	HGF	278
ENSG00000019995	ENSP00000352676	ENST00000359653	ZRANB1	254
ENSG00000020129	ENSP00000362340	ENST00000373243	NCDN	196
ENSG00000020181	ENSP00000406367	ENST00000412232	ADGRA2	196
ENSG00000020256	ENSP00000216923	ENST00000216923	ZFP64	210
ENSG00000020426	ENSP00000261245	ENST00000261245	MNAT1	209
ENSG00000020577	ENSP00000452535	ENST00000554335	SAMD4A	205
ENSG00000020633	ENSP00000308051	ENST00000308873	RUNX3	258
ENSG00000020922	ENSP00000325863	ENST00000323929	MRE11	211
ENSG00000021300	ENSP00000346127	ENST00000354190	PLEKHB1	410
ENSG00000021355	ENSP00000370115	ENST00000380739	SERPINB1	306
ENSG00000021461	ENSP00000346887	ENST00000354829	CYP3A43	787
ENSG00000021488	ENSP00000023064	ENST00000023064	SLC7A9	212
ENSG00000021574	ENSP00000320885	ENST00000315285	SPAST	241
ENSG00000021645	ENSP00000338349	ENST00000335750	NRXN3	315
ENSG00000021762	ENSP00000263650	ENST00000263650	OSBPL5	192
ENSG00000021776	ENSP00000156471	ENST00000156471	AQR	206
ENSG00000021826	ENSP00000233072	ENST00000233072	CPS1	195
